x	y	v
0.000000	0.500000	0.000000
0.007813	0.500000	0.031177
0.015625	0.500000	0.059613
0.023438	0.500000	0.085425
0.031250	0.500000	0.108749
0.039063	0.500000	0.129734
0.046875	0.500000	0.148545
0.054688	0.500000	0.165360
0.062500	0.500000	0.180366
0.070313	0.500000	0.193751
0.078125	0.500000	0.205701
0.085938	0.500000	0.216397
0.093750	0.500000	0.226004
0.101563	0.500000	0.234672
0.109375	0.500000	0.242533
0.117188	0.500000	0.249699
0.125000	0.500000	0.256258
0.132813	0.500000	0.262283
0.140625	0.500000	0.267823
0.148438	0.500000	0.272915
0.156250	0.500000	0.277577
0.164063	0.500000	0.281819
0.171875	0.500000	0.285637
0.179688	0.500000	0.289022
0.187500	0.500000	0.291961
0.195313	0.500000	0.294436
0.203125	0.500000	0.296428
0.210938	0.500000	0.297917
0.218750	0.500000	0.298885
0.226563	0.500000	0.299314
0.234375	0.500000	0.299192
0.242188	0.500000	0.298507
0.250000	0.500000	0.297251
0.257813	0.500000	0.295420
0.265625	0.500000	0.293013
0.273438	0.500000	0.290035
0.281250	0.500000	0.286493
0.289063	0.500000	0.282398
0.296875	0.500000	0.277764
0.304688	0.500000	0.272611
0.312500	0.500000	0.266958
0.320313	0.500000	0.260830
0.328125	0.500000	0.254254
0.335938	0.500000	0.247257
0.343750	0.500000	0.239869
0.351563	0.500000	0.232121
0.359375	0.500000	0.224044
0.367188	0.500000	0.215671
0.375000	0.500000	0.207033
0.382813	0.500000	0.198159
0.390625	0.500000	0.189082
0.398438	0.500000	0.179829
0.406250	0.500000	0.170427
0.414063	0.500000	0.160902
0.421875	0.500000	0.151278
0.429688	0.500000	0.141576
0.437500	0.500000	0.131816
0.445313	0.500000	0.122016
0.453125	0.500000	0.112189
0.460938	0.500000	0.102350
0.468750	0.500000	0.092511
0.476563	0.500000	0.082679
0.484375	0.500000	0.072864
0.492188	0.500000	0.063070
0.500000	0.500000	0.053302
0.507813	0.500000	0.043563
0.515625	0.500000	0.033854
0.523438	0.500000	0.024177
0.531250	0.500000	0.014530
0.539063	0.500000	0.004912
0.546875	0.500000	-0.004680
0.554688	0.500000	-0.014249
0.562500	0.500000	-0.023799
0.570313	0.500000	-0.033335
0.578125	0.500000	-0.042863
0.585938	0.500000	-0.052390
0.593750	0.500000	-0.061924
0.601563	0.500000	-0.071474
0.609375	0.500000	-0.081051
0.617188	0.500000	-0.090666
0.625000	0.500000	-0.100333
0.632813	0.500000	-0.110067
0.640625	0.500000	-0.119886
0.648438	0.500000	-0.129809
0.656250	0.500000	-0.139858
0.664063	0.500000	-0.150057
0.671875	0.500000	-0.160433
0.679688	0.500000	-0.171016
0.687500	0.500000	-0.181834
0.695313	0.500000	-0.192921
0.703125	0.500000	-0.204309
0.710938	0.500000	-0.216031
0.718750	0.500000	-0.228116
0.726563	0.500000	-0.240592
0.734375	0.500000	-0.253477
0.742188	0.500000	-0.266783
0.750000	0.500000	-0.280509
0.757813	0.500000	-0.294634
0.765625	0.500000	-0.309120
0.773438	0.500000	-0.323898
0.781250	0.500000	-0.338871
0.789063	0.500000	-0.353903
0.796875	0.500000	-0.368817
0.804688	0.500000	-0.383390
0.812500	0.500000	-0.397352
0.820313	0.500000	-0.410384
0.828125	0.500000	-0.422125
0.835938	0.500000	-0.432173
0.843750	0.500000	-0.440100
0.851563	0.500000	-0.445467
0.859375	0.500000	-0.447840
0.867188	0.500000	-0.446819
0.875000	0.500000	-0.442060
0.882813	0.500000	-0.433299
0.890625	0.500000	-0.420381
0.898438	0.500000	-0.403280
0.906250	0.500000	-0.382108
0.914063	0.500000	-0.357125
0.921875	0.500000	-0.328732
0.929688	0.500000	-0.297458
0.937500	0.500000	-0.263936
0.945313	0.500000	-0.228874
0.953125	0.500000	-0.193021
0.960938	0.500000	-0.157131
0.968750	0.500000	-0.121929
0.976563	0.500000	-0.088084
0.984375	0.500000	-0.056179
0.992188	0.500000	-31.526696
1.000000	0.500000	0.000000
