i		j		T (gauss Seidel)
11		1		100.000000
11		2		90.000671
11		3		80.250320
11		4		70.966095
11		5		62.311859
11		6		54.390808
11		7		47.249847
11		8		40.890518
11		9		35.281956
11		10		30.372810
11		11		26.100832
11		12		22.399801
11		13		19.204161
11		14		16.451849
11		15		14.085817
11		16		12.054682
11		17		10.312820
11		18		8.820137
11		19		7.541649
11		20		6.446999
11		21		5.509941
11		22		4.707851
11		23		4.021261
11		24		3.433441
11		25		2.930030
11		26		2.498699
11		27		2.128871
11		28		1.811466
11		29		1.538681
11		30		1.303810
11		31		1.101072
11		32		0.925476
11		33		0.772697
11		34		0.638972
11		35		0.521006
11		36		0.415889
11		37		0.321031
11		38		0.234092
11		39		0.152926
11		40		0.075532
11		41		0.000000
number of iterations is 574
