i		j		T (PSOR)
11		1		100.000000
11		2		90.000839
11		3		80.250648
11		4		70.966599
11		5		62.312523
11		6		54.391624
11		7		47.250790
11		8		40.891563
11		9		35.283112
11		10		30.374084
11		11		26.102224
11		12		22.401297
11		13		19.205744
11		14		16.453506
11		15		14.087553
11		16		12.056486
11		17		10.314673
11		18		8.822021
11		19		7.543535
11		20		6.448910
11		21		5.511847
11		22		4.709742
11		23		4.023126
11		24		3.435267
11		25		2.931804
11		26		2.500411
11		27		2.130510
11		28		1.813024
11		29		1.540151
11		30		1.305184
11		31		1.102340
11		32		0.926632
11		33		0.773736
11		34		0.639890
11		35		0.521797
11		36		0.416551
11		37		0.321562
11		38		0.234490
11		39		0.153191
11		40		0.075664
11		41		0.000000
number of iterations is 52
