i		j		T (analytical)
11		1		100.000000
11		2		90.000526
11		3		80.280838
11		4		71.012566
11		5		62.359589
11		6		54.428925
11		7		47.272415
11		8		40.895931
11		9		35.271561
11		10		30.349440
11		11		26.067818
11		12		22.360302
11		13		19.160894
11		14		16.406990
11		15		14.040986
11		16		12.011051
11		17		10.271183
11		18		8.780990
11		19		7.505280
11		20		6.413527
11		21		5.479383
11		22		4.680138
11		23		3.996272
11		24		3.411027
11		25		2.910019
11		26		2.480915
11		27		2.113135
11		28		1.797603
11		29		1.526528
11		30		1.293210
11		31		1.091883
11		32		0.917567
11		33		0.765953
11		34		0.633290
11		35		0.516296
11		36		0.412076
11		37		0.318053
11		38		0.231899
11		39		0.151483
11		40		0.074816
11		41		0.000000
