i		j		T
1		1		100.000000
1		2		0.000000
1		3		0.000000
1		4		0.000000
1		5		0.000000
1		6		0.000000
1		7		0.000000
1		8		0.000000
1		9		0.000000
1		10		0.000000
1		11		0.000000
1		12		0.000000
1		13		0.000000
1		14		0.000000
1		15		0.000000
1		16		0.000000
1		17		0.000000
1		18		0.000000
1		19		0.000000
1		20		0.000000
1		21		0.000000
1		22		0.000000
1		23		0.000000
1		24		0.000000
1		25		0.000000
1		26		0.000000
1		27		0.000000
1		28		0.000000
1		29		0.000000
1		30		0.000000
1		31		0.000000
1		32		0.000000
1		33		0.000000
1		34		0.000000
1		35		0.000000
1		36		0.000000
1		37		0.000000
1		38		0.000000
1		39		0.000000
1		40		0.000000
1		41		0.000000
2		1		100.000000
2		2		49.737122
2		3		29.713554
2		4		20.168369
2		5		14.842422
2		6		11.484967
2		7		9.173406
2		8		7.480127
2		9		6.184561
2		10		5.162282
2		11		4.337710
2		12		3.662004
2		13		3.101917
2		14		2.633789
2		15		2.240142
2		16		1.907655
2		17		1.625910
2		18		1.386591
2		19		1.182948
2		20		1.009431
2		21		0.861432
2		22		0.735097
2		23		0.627183
2		24		0.534946
2		25		0.456061
2		26		0.388550
2		27		0.330726
2		28		0.281148
2		29		0.238582
2		30		0.201970
2		31		0.170403
2		32		0.143094
2		33		0.119365
2		34		0.098624
2		35		0.080354
2		36		0.064099
2		37		0.049451
2		38		0.036044
2		39		0.023540
2		40		0.011625
2		41		0.000000
3		1		100.000000
3		2		69.234947
3		3		48.948761
3		4		36.117546
3		5		27.716413
3		6		21.924114
3		7		17.728611
3		8		14.562638
3		9		12.095940
3		10		10.126974
3		11		8.526676
3		12		7.208520
3		13		6.112011
3		14		5.193237
3		15		4.419269
3		16		3.764716
3		17		3.209546
3		18		2.737659
3		19		2.335922
3		20		1.993494
3		21		1.701349
3		22		1.451921
3		23		1.238830
3		24		1.056678
3		25		0.900882
3		26		0.767541
3		27		0.653327
3		28		0.555398
3		29		0.471317
3		30		0.398996
3		31		0.336637
3		32		0.282691
3		33		0.235814
3		34		0.194841
3		35		0.158748
3		36		0.126635
3		37		0.097697
3		38		0.071209
3		39		0.046506
3		40		0.022967
3		41		0.000000
4		1		100.000000
4		2		78.253929
4		3		60.729065
4		4		47.636711
4		5		37.981667
4		6		30.766584
4		7		25.254431
4		8		20.946032
4		9		17.509758
4		10		14.723185
4		11		12.433701
4		12		10.533602
4		13		8.944592
4		14		7.608112
4		15		6.479219
4		16		5.522636
4		17		4.710145
4		18		4.018826
4		19		3.429833
4		20		2.927519
4		21		2.498794
4		22		2.132646
4		23		1.819771
4		24		1.552279
4		25		1.323465
4		26		1.127611
4		27		0.959842
4		28		0.815984
4		29		0.692465
4		30		0.586219
4		31		0.494605
4		32		0.415349
4		33		0.346479
4		34		0.286280
4		35		0.233251
4		36		0.186067
4		37		0.143549
4		38		0.104630
4		39		0.068333
4		40		0.033747
4		41		0.000000
5		1		100.000000
5		2		83.051765
5		3		68.076920
5		4		55.718678
5		5		45.807102
5		6		37.906292
5		7		31.576683
5		8		26.457514
5		9		22.274117
5		10		18.822563
